escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,221.7,255.917,34.217,16.2,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,232.717,255.917,23.2,7.383,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,229.717,256.067,26.35,6.383,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,223.7,257.6,33.9,14.25,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,234.717,258.4,23.683,2.883,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,224.7,259.917,35.217,10.233,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,235.717,260.617,24.9,3.383,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,240.717,261.617,20.9,4.9,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,239.717,261.817,22.1,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,truck,225.7,262.267,36.567,10.6,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,228.7,267.867,39.167,17.917,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,238.717,267.867,29.15,5.433,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,truck,237.717,267.883,30.167,10.3,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,truck,241.717,270.083,28.367,7.783,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,233.717,270.217,36.5,14.417,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,243.717,270.217,26.5,1.933,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bike,250.717,271.867,21.15,5.667,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,247.717,272.083,24.367,6.133,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,244.717,272.567,27.85,2.433,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,252.733,273.883,21.15,3.667,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,246.717,274.9,28.183,1.933,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,251.717,276.283,24.567,4.783,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,231.717,281.883,50.167,28.767,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,258.8,281.883,23.083,2.683,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,245.717,281.9,36.183,18.0,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,242.717,281.917,39.2,16.117,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,236.717,283.833,47.117,27.283,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,254.733,283.9,29.167,10.483,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,249.717,284.117,34.4,10.733,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,248.717,285.683,36.967,16.783,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,256.767,285.8,29.033,11.75,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,253.733,286.45,32.717,8.083,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,259.817,288.65,28.833,3.617,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,264.9,289.383,24.483,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,263.883,295.917,32.033,11.917,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,255.733,295.933,40.2,16.75,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,261.85,295.933,34.083,11.8,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,265.917,297.917,32.0,3.783,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,car,280.183,298.0,17.817,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bike,257.783,298.017,40.233,22.75,6.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,270.0,298.267,28.267,5.133,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,car,262.867,299.967,37.1,17.283,1.5
