escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,44.783,70.283,25.5,19.1,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,56.033,70.417,14.383,7.567,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,60.117,72.267,12.15,4.983,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,48.867,72.7,23.833,14.45,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,66.25,72.883,6.633,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,52.967,74.467,21.5,13.3,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,61.133,74.867,13.733,3.633,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,68.3,75.3,7.0,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,57.05,82.3,25.25,19.683,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,bus,58.067,82.317,24.25,17.5,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,car,65.233,82.317,17.083,8.583,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,63.183,82.333,19.15,11.55,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,67.283,84.167,16.883,10.95,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,69.317,84.267,14.95,6.733,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,64.217,84.483,20.267,13.367,3.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,59.083,84.667,25.583,17.967,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,bike,76.45,86.017,9.567,3.283,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,74.417,86.117,11.7,3.133,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,bike,71.35,86.417,15.067,9.083,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,73.383,86.5,13.117,5.683,1.5
